iso_ts,epoch_ts,inflight_requests,request_count,node_ready,node_not_ready
2026-03-21T22:38:44Z,1774132724,2,287893,1,0
2026-03-21T22:38:53Z,1774132733,0,287907,1,0
2026-03-21T22:39:01Z,1774132741,0,287931,1,0
2026-03-21T22:39:11Z,1774132751,1,287959,1,0
2026-03-21T22:39:20Z,1774132761,1,287988,1,0
2026-03-21T22:39:29Z,1774132769,0,288001,1,0
2026-03-21T22:39:41Z,1774132781,1,288029,1,0
2026-03-21T22:39:50Z,1774132790,2,288049,1,0
2026-03-21T22:39:59Z,1774132799,2,288071,1,0
2026-03-21T22:40:08Z,1774132808,0,288089,1,0
2026-03-21T22:40:17Z,1774132817,1,288115,1,0
2026-03-21T22:40:26Z,1774132826,1,288134,1,0
2026-03-21T22:40:35Z,1774132835,1,288152,1,0
2026-03-21T22:40:44Z,1774132844,1,288179,1,0
2026-03-21T22:40:53Z,1774132853,1,288197,1,0
2026-03-21T22:41:03Z,1774132863,1,288225,1,0
2026-03-21T22:41:11Z,1774132871,1,288245,1,0
2026-03-21T22:41:20Z,1774132880,1,288262,1,0
2026-03-21T22:41:29Z,1774132889,2,288278,1,0
2026-03-21T22:41:38Z,1774132898,2,288293,1,0
2026-03-21T22:41:47Z,1774132907,1,288316,1,0
2026-03-21T22:41:56Z,1774132916,1,288338,1,0
2026-03-21T22:42:05Z,1774132925,1,288352,1,0
2026-03-21T22:42:15Z,1774132935,0,288371,1,0
2026-03-21T22:42:24Z,1774132944,1,288393,1,0
2026-03-21T22:42:33Z,1774132953,8,288473,1,0
2026-03-21T22:42:43Z,1774132963,6,288709,1,0
2026-03-21T22:42:55Z,1774132975,4,288937,1,0
2026-03-21T22:43:07Z,1774132987,2,289060,1,0
2026-03-21T22:43:18Z,1774132998,6,289115,1,0
2026-03-21T23:36:48Z,1774136208,1,296238,1,0
2026-03-21T23:36:58Z,1774136218,0,296270,1,0
2026-03-21T23:37:07Z,1774136227,1,296300,1,0
2026-03-21T23:37:16Z,1774136236,0,296370,1,0
2026-03-21T23:37:26Z,1774136246,0,296393,1,0
2026-03-21T23:37:35Z,1774136255,1,296412,1,0
2026-03-21T23:37:45Z,1774136265,1,296433,1,0
2026-03-21T23:37:56Z,1774136276,1,296462,1,0
2026-03-21T23:38:05Z,1774136285,1,296477,1,0
2026-03-21T23:38:15Z,1774136295,1,296502,1,0
2026-03-21T23:38:24Z,1774136304,1,296526,1,0
2026-03-21T23:38:33Z,1774136313,1,296551,1,0
2026-03-21T23:38:43Z,1774136323,2,296574,1,0
2026-03-21T23:38:53Z,1774136333,1,296602,1,0
2026-03-21T23:39:03Z,1774136343,2,296622,1,0
2026-03-21T23:39:12Z,1774136352,2,296641,1,0
2026-03-21T23:39:23Z,1774136363,0,296667,1,0
2026-03-21T23:39:33Z,1774136373,1,296691,1,0
2026-03-21T23:39:44Z,1774136384,2,296721,1,0
2026-03-21T23:39:56Z,1774136396,2,296748,1,0
2026-03-21T23:40:05Z,1774136405,1,296769,1,0
2026-03-21T23:40:15Z,1774136415,1,296795,1,0
2026-03-21T23:40:24Z,1774136424,1,296814,1,0
2026-03-21T23:40:33Z,1774136433,1,296838,1,0
2026-03-21T23:40:42Z,1774136442,1,296854,1,0
2026-03-21T23:40:51Z,1774136451,2,296882,1,0
2026-03-21T23:41:01Z,1774136461,0,296904,1,0
2026-03-21T23:41:10Z,1774136470,1,296930,1,0
2026-03-21T23:41:19Z,1774136479,2,296955,1,0
2026-03-21T23:41:29Z,1774136489,2,296981,1,0
2026-03-21T23:41:39Z,1774136499,2,297007,1,0
2026-03-21T23:41:48Z,1774136508,0,297030,1,0
2026-03-21T23:41:58Z,1774136518,1,297060,1,0
2026-03-21T23:42:08Z,1774136528,0,297074,1,0
2026-03-21T23:42:17Z,1774136537,1,297102,1,0
2026-03-21T23:42:27Z,1774136547,0,297119,1,0
2026-03-21T23:42:36Z,1774136556,1,297155,1,0
2026-03-21T23:42:46Z,1774136566,0,297169,1,0
2026-03-21T23:42:54Z,1774136574,2,297186,1,0
2026-03-21T23:43:03Z,1774136583,1,297204,1,0
2026-03-21T23:43:15Z,1774136595,2,297219,1,0
2026-03-21T23:43:24Z,1774136604,2,297241,1,0
2026-03-21T23:43:35Z,1774136615,2,297263,1,0
2026-03-21T23:43:44Z,1774136624,2,297281,1,0
2026-03-21T23:43:53Z,1774136633,2,297295,1,0
2026-03-21T23:44:03Z,1774136643,0,297311,1,0
2026-03-21T23:44:13Z,1774136653,2,297410,1,0
2026-03-21T23:44:23Z,1774136663,13,893248,1,0
2026-03-21T23:44:46Z,1774136686,1,297958,1,0
2026-03-22T00:23:07Z,1774138987,1,304600,1,0
2026-03-22T00:23:16Z,1774138996,2,304624,1,0
2026-03-22T00:23:25Z,1774139005,1,304653,1,0
2026-03-22T00:23:34Z,1774139014,1,304731,1,0
2026-03-22T00:23:43Z,1774139023,3,304749,1,0
2026-03-22T00:23:53Z,1774139033,1,304768,1,0
2026-03-22T00:24:03Z,1774139043,3,304800,1,0
2026-03-22T00:24:11Z,1774139051,0,304832,1,0
2026-03-22T00:24:31Z,1774139071,2,304854,1,0
2026-03-22T00:24:44Z,1774139084,2,304882,1,0
2026-03-22T00:24:54Z,1774139094,1,304908,1,0
2026-03-22T00:25:03Z,1774139103,2,304930,1,0
2026-03-22T00:25:12Z,1774139112,2,304950,1,0
2026-03-22T00:25:22Z,1774139122,1,304967,1,0
2026-03-22T00:25:30Z,1774139130,1,304993,1,0
2026-03-22T00:25:39Z,1774139139,0,305013,1,0
2026-03-22T00:25:49Z,1774139149,1,305040,1,0
2026-03-22T00:25:59Z,1774139159,1,305063,1,0
2026-03-22T00:26:08Z,1774139168,1,305085,1,0
2026-03-22T00:26:18Z,1774139178,2,305111,1,0
